Vendor SKU,Category,Center Stone Type,Center Stone Shape,Center Stone Color,# of Center Stones,Center Stone Measurements,Center Stone Weight,Total Diamond Weight,# of side Diamonds,Color of Side diamonds,Clarity of Side diamonds,# of Pave Diamonds,Color of Pave diamonds,Clarity of Pave Diamonds,Metal,Ring Size,Item Name,R2Net Cost,Suggested Retail,Shank Width in MM,Shank Height,Image Name,Long Description
GF247E,ERNG,Emerald,Cushion,Green,4,,2.47,0.89,2,SI1,SI1,64,GH,SI1,18KTT,,,4750.00,9500.00,0.00,0.00,gf247e.jpg,EMERALD 4/2.47CT. F. DIA 2/0.34CT. RD DIA 64/0.55CT. 18TT
PF3H327,PDT,Sapphire,Heart Shape,Blue,1,,3.27,0.50,0,SI1,SI1,77,GH,SI1,18KTT,,,7500.00,15000.00,0.00,0.00,PF3H327.JPG,18K Two Tone Frame Micro Pave Pendant 3.27ct Heart Blue Sapphire D.50
PF3576,PDT,Sapphire,,,3,,5.76,0.70,0,,SI1,152,GH,SI1,18KTT,,,6000.00,12000.00,0.00,0.00,PF3576.jpg,SA. P1.29. B.52. Y3.95. D152/.70. 18KTT
R8H11588Y,RG,Y. Sapphire,,Yellow,1,,5.66,0.86,0,SI1,SI1,160,GH,SI1,18KTT,6.5,,3250.00,6500.00,3.50,0.00,R8H11588Y.jpg,18K Two Tone Double Halo Twisted Shank Ring 5.66ct Cushion Cut Yellow Sapphire D.86
RJF893T,RG,Tanzanite,EC,Blue,1,,8.93,1.32,0,,SI1,216,GH,SI1,18KTT,,,7950.00,15900.00,0.00,0.00,rjf893t.jpg,Tanzanite 8.93ct. Dia 216/1.32ct. 18KTT
RJD60S,RG,Sapphire,Round,Blue,1,6,1.13,0.54,0,,,124,,,18KTT,6.5,"""Psyche"" Ring",2125.00,4250.00,1.50,2.10,RJD60S.jpg,18K Two Tone Split Shank Halo Ring 1.13ct Round Blue Sapphire D.54
RPC608P,RG,P. Sapphire,Oval,Pink,1,,6.08,1.00,0,,SI1,26,GH,SI1,18KTT,6.5,"""Cecilia""Ring",6250.00,12500.00,3.00,2.80,RPC608P.jpg,Pink Sapphire 6.08ct. Dia 26/1.00ct. 18K Two Tone Gold
GF323E,ERNG,Emerald,Cushion,Green,6,,3.23,1.97,8,SI1,SI1,96,GH,SI1,18KTT,,,7750.00,15500.00,0.00,0.00,gf323e.jpg,EME 6/3.23ct. DIA A 2/0.40ct. 2/0.25ct. F. DIA 4/0.65ct. RD DIA 96/0.67ct. 2TT
R75105E5,RG,Emerald,Oval,Green,1,7x5,0.84,0.53,0,SI1,SI1,10,GH,SI1,18KTT,6.5,"""Camilla"" Ring",1700.00,3400.00,2.00,2.70,R75105E.jpg,18K Two Tone Cluster Ring 0.84ct Oval Emerald D.53
N7524M,NL,Multi Color,Oval,Nulti,43,,46.01,3.94,0,,SI1,86,GH,SI1,18KTT,,,14500.00,29000.00,0.00,0.00,N7524M.jpg,RB SAP 46.01. D3.94. 18KW
RHF153,RG,Emerald,Cushion,Green,1,7.1x7,1.53,0.53,2,SI1,SI1,36,GH,SI1,18KTT,6.5,"""Nora"" Ring",2375.00,4750.00,1.60,2.90,RHF153.JPG,18K Two Tone Three Stone Halo Ring 1.53ct Cushion Emerald HM.25 RD.28
RHF86Y3,RG,Yellow Sapphire,Oval,Yellow,1,8x6.2,1.49,0.46,2,SI1,SI1,58,GH,SI1,18KTT,6.5,"""Tilly"" Ring",1250.00,2500.00,1.40,2.30,RHF86Y.jpg,18K Two Tone Three Stone Halo Ring 1.49ct Oval Yellow Sapphire HM.18 RD.28
RHF541,RG,Yellow Sapphire,Radiant,Yellow,1,9.3x9.1,5.41,0.58,2,SI1,SI1,40,GH,SI1,18KTT,6.5,"""Evadne"" Ring",3200.00,6400.00,1.30,2.90,RHF541.jpg,18K Two Tone Three Stone Halo Ring 5.41ct Radiant Yellow Sapphire TRP.25 RD.33
R8H9195Y,RG,Yellow Sapphire,Emerald Cut,Yellow,1,9.6x9x5,6.26,0.73,0,SI1,SI1,156,GH,SI1,18KTT,6.5,"""Alcippe"" Ring",4500.00,9000.00,2.10,3.70,R8H9195Y.jpg,18K Two Tone Double Halo Twisted Shank Ring 6.26ct Emerald Cut Yellow Sapphire D.73
RHF298,RG,Yellow Sapphire,Oval,Yellow,1,,2.98,0.82,2,SI1,SI1,36,GH,SI1,18KTT,6.5,"""Electra"" Ring",2100.00,4200.00,2.90,1.60,RHF298.jpg,18K Two Tone Three Stone Halo Ring 2.98ct Oval Yellow Sapphire HM.28 RD.54
RJF536T,RG,Tanzanite,EC,Blue,1,,5.36,1.06,0,,SI1,206,GH,SI1,18KTT,,,4900.00,9800.00,2.00,5.00,rjf536t.jpg,Tanzanite 5.36ct. Dia 206/1.06ct. 18TT
RHF471,RG,Emerald,Oval,Green,1,12.6x8.8,4.71,0.85,2,SI1,SI1,58,GH,SI1,18KTT,6.5,"""Euterpe"" Ring",13750.00,27500.00,1.60,3.10,RHF471.jpg,18K Two Tone Three Stone Halo Ring 4.71ct Oval Emerald HM.47 RD.38
RJF185E,RG,Emerald,EC,Green,0,,0.00,0.00,0,,,0,,,18KTT,,,5250.00,10500.00,0.00,0.00,rjf185e.jpg,EMERALD 1.85CT. DIA 120/0.52CT. 18TT
RHF95E,RG,Emerald,CC,Green,1,,0.95,0.45,2,SI1,SI1,32,GH,SI1,18KTT,6.5,"""Maipu"" Ring",2850.00,5700.00,2.80,3.60,rhf95e.jpg,18K Two Tone Three Stone Halo Ring 0.95ct Cushion Emerald HM.21 RD.24
RHM196,RG,Ruby,Oval,Red,1,7.9x7.1,1.96,0.30,2,SI1,SI1,0,GH,SI1,18KTT,6.5,"""Iole"" Ring",8500.00,17000.00,3.90,1.70,rhm196.JPG,18K Two Tone Three Stone Ring 1.96ct Oval Ruby HM.30
R86100S2,RG,Sapphire,Oval,Blue,1,,1.94,1.08,0,,SI1,10,GH,SI1,18KTT,6.5,"""Chicureo"" Ring",3000.00,6000.00,2.60,3.50,R86100S.jpg,SA 1.94. D1.08. 2T18K
RF276PB,RG,Paraiba,Oval,Blue,1,,2.76,0.49,0,,SI1,80,GH,SI1,18KTT,6.5,"""Punta Cana"" Ring",26000.00,52000.00,0.00,0.00,RF276PB.jpg,PAR 2.76.P.TRM1.35.D.49
NFP707,NL,Pink Sapphire,PS,Pink,1,,7.07,6.29,74,,,67,,,18KTT,,,50000.00,100000.00,0.00,0.00,nfp707.jpg,P.SAPPHIRE 7.07CT. F DIA 5.36CT. DIA 0.93CT. 18TT
GFL43R200R2,ERNG,Ruby,Oval,Red,10,4x3,2.02,0.45,0,SI1,SI1,62,GH,SI1,18KW,,,1250.00,2500.00,0.00,0.00,gfl43r200r.JPG,18K White Gold Flower Earring 2.02ct Oval Ruby D.45
GF517,ERNG,Sapphire,Emerald Cut,Blue,2,9.3x7,5.17,1.09,2,SI1,SI1,50,GH,SI1,18KW,,,6250.00,12500.00,0.00,0.00,GF517.JPG,18K White Gold Fancy Micro Pave Earring 5.17ct Emerald Cut Blue Sapphire F.62 RD.47
B352BS14,TNSB,Sapphire,Round,Blue,25,,4.35,0.95,0,SI1,SI1,50,GH,SI1,18KW,,,3275.00,6550.00,0.00,0.00,B352B.jpg,Sap 25/4.35ct. Dia Bag 50/0.95ct. 18KW
NP435R,NL,Ruby,PS,Red,0,,0.00,0.00,0,,,0,,,18KW,,,9000.00,18000.00,0.00,0.00,,RUBY 4.35. D3.00. 18KW
GM45R85,ERNG,Ruby,Round,Red,2,,0.85,0.22,0,,SI1,0,GH,SI1,18KW,,,675.00,1350.00,0.00,0.00,GM45R.jpg,18K White Gold Micro Pave Earring 0.85ct Round Ruby D.22
GPM1060,ERNG,Ruby,PS,Red,14,,3.27,1.18,0,,SI1,0,GH,SI1,18KW,,,4950.00,9900.00,0.00,0.00,GPM1060.jpg,Ruby 3.27ct. Dia 1.18ct 18K White Gold
NPC3805,NL,Sapphire,Round,Blue,53,,38.05,4.50,0,,SI1,0,GH,SI1,18KW,,,37500.00,75000.00,0.00,0.00,,Sapphire 53/38.05ct. Dia 4.50ct. 18K WG
NP1865,NL,Sapphire,Marquise,Blue,26,,18.65,6.30,0,,SI1,0,GH,SI1,18KW,,,17500.00,35000.00,0.00,0.00,NP1865.jpg,Sap 26/18.65ct. Dia 6.30ct. 18KW
NP1151,NL,Sapphire,Oval,Blue,28,,11.51,9.63,0,,SI1,0,GH,SI1,18KW,,,15250.00,30500.00,0.00,0.00,NP1151.jpg,Sap 28/11.51ct. Dia 9.63ct. 18KW
RPC86123S,RG,Sapphire,Oval,Blue,1,,1.78,0.40,0,,SI1,12,GH,SI1,18KW,6.5,,2500.00,5000.00,2.80,2.00,RPC86123S.jpg,Sapp 1.78ct. Dia12/ 0.40ct 18KW
G64103R100,ERNG,Ruby,Oval,Red,2,,1.00,0.60,0,,SI1,20,GH,SI1,18KW,,,1475.00,2950.00,0.00,0.00,G64103R.jpg,18K White Gold Cluster Earring 1.00ct Oval Ruby D.60
GY86S331,ERNG,Sapphire,Oval,Blue,2,,3.31,0.90,0,,SI1,24,GH,SI1,18KW,,,3750.00,7500.00,0.00,0.00,GY86S331.jpg,SAP 3.31.D.90
GF346R,ERNG,Ruby,Oval,Red,2,,3.46,0.46,0,,SI1,40,GH,SI1,18KW,,,10500.00,21000.00,7.20,8.20,gf346r.JPG,18K White Gold Milgrain Micro Pave Halo Earring 3.46ct Oval Ruby D.46
NF816R,NL,Ruby,Heart Shape,Red,1,,8.16,0.80,0,,SI1,42,GH,SI1,18KW,,,20000.00,40000.00,0.00,0.00,NF816R.jpg,RUBY 8.16. D.80
GC810RV,ERNG,Ruby,,Red,4,,8.10,4.90,12,SI1,SI1,36,GH,SI1,18KW,,,24000.00,48000.00,0.00,0.00,,
PF3H130,PDT,Sapphire,Heart Shape,Blue,1,,1.30,0.37,0,SI1,SI1,59,GH,SI1,18KW,,,1750.00,3500.00,0.00,0.00,PF3H.JPG,18K White Gold Fraim Micro Pave Pendant 1.30ct Heart Blue Sapphire D.37
PCP1240,PDT,Blue Zircon,Cushion,Blue,1,,12.40,1.08,0,,SI1,110,GH,SI1,18KW,,,6950.00,13900.00,0.00,0.00,PCP1240.jpg,B.ZRC 12.40.P.TRM .90.D1.08
PCP965,PDT,Tourmaline,PS,Pink,1,,9.65,0.95,0,,SI1,122,GH,SI1,18KW,,,4500.00,9000.00,0.00,0.00,PCP965.jpg,P.TRM 9.65. B.ZRC 4.06.D.95
B1159R2,TNSB,Ruby,Square,Red,48,,4.42,1.55,0,,SI1,135,GH,SI1,18KW,,,5500.00,11000.00,0.00,0.00,B1159R.JPG,RUBY 48/4.42 DIA 1.55. 18KW
NF640PB,NL,Paraiba,PS,Blue,1,,6.40,1.33,0,SI1,SI1,143,GH,SI1,18KW,,,3750.00,7500.00,0.00,0.00,NF640PB.jpg,PARA 6.40.P.TRM 1.72.D1.33
P4317S,PDT,Sapphire,Oval,Blue,17,,3.75,0.75,0,SI1,SI1,146,GH,SI1,18KW,,,2100.00,4200.00,0.00,0.00,p4317s.JPG,18K White Gold Micro Pave Pendant 3.75ct Oval Blue Sapphire D.75
GF3627E,ERNG,Emerald,PS,Green,2,,63.85,1.72,0,,SI1,176,GH,SI1,18KW,,,5000.00,10000.00,0.00,0.00,GF3627E.jpg,Emerald 2/63.85ct. Pink Tourmaline 4/3.13ct. Dia 176/1.72ct. 18K White Gold
GCP1313,ERNG,Blue Zircon,Cushion,Blue,1,,13.13,1.66,0,,SI1,188,D,SI1,18KW,,,6750.00,13500.00,0.00,0.00,GCP1313.jpg,B.ZRC 13.13.P.TRM 1.43.D1.66
N754QS2,NL,Sapphire,Oval,Blue,13,,4.57,1.53,0,,,196,,,18KW,,,5750.00,11500.00,0.00,0.00,N754QS.JPG,SA 4.57. D1.53. 18KW
GPB231,ERNG,Paraiba,PS,Blue,2,,2.31,1.35,0,,SI1,216,GH,SI1,18KW,,,12000.00,24000.00,0.00,0.00,GPB231.jpg,PARAIBA 2.31.P.TRM1.49.D1.35
GPA3484,ERNG,Paraiba,Oval,Blue,2,,34.84,1.93,0,SI1,SI1,226,GH,SI1,18KW,,,8500.00,17000.00,0.00,0.00,GPA3484.jpg,PAR 34.84.PINK T.1.57.D.1.93. 18K
N457HS16,NL,Sapphire,Oval,Blue,17,,6.10,1.90,0,,SI1,240,GH,SI1,18KW,,,5000.00,10000.00,0.00,0.00,n457hs.JPG,SAP 6.10. D1.90. 18KW
N457HE7,NL,Emerald,Oval,Green,17,,4.13,2.12,0,,SI1,240,GH,SI1,18KW,,,6500.00,13000.00,0.00,0.00,N457HE.jpg,EME 4.13. D2.12. 18KW
B5481S,TNSB,Sapphire,Oval,Blue,12,,5.57,2.46,0,,SI1,300,GH,SI1,18KW,,,5900.00,11800.00,0.00,0.00,B5481S.jpg,SAP 5.57.D2.46
BCA75E4,TNSB,Emerald,Oval,Green,11,,8.48,4.30,11,SI1,SI1,418,GH,SI1,18KW,,,18000.00,36000.00,0.00,0.00,bca75e.JPG,EME 8.48. A1.79. D2.51 18KW
NPC1800,NL,Sapphire,Oval,Blue,31,,18.00,3.10,0,,SI1,431,GH,SI1,18KW,,,18000.00,36000.00,0.00,0.00,NPC1800.jpg,SAP 18.00. D3.10. 18KW
N457R11,NL,Ruby,Oval,Red,40,,10.00,4.35,0,,,538,,,18KW,,,8750.00,17500.00,0.00,0.00,N457R.jpg,RUBY 10.00. D4.35. 18KW
N1112S1,NL,Sapphire,Round,Blue,27,,9.63,8.61,0,,SI1,936,GH,SI1,18KW,,,15000.00,30000.00,0.00,0.00,N1112S.jpg,SAP 9.63 D. 8.61. 18KW
BR25E3,TNSB,Emerald,Round,Green,42,,2.15,0.47,0,,,7,,,18KW,,,2475.00,4950.00,0.00,0.00,br25e.JPG,EME 2.15. D.47 18KW
FTR12060,STU,Ruby,Round,Red,2,,0.60,0.00,0,,,0,,,18KW,,,200.00,400.00,0.00,0.00,ftr16090.JPG,RUBY 0.60. 18K
G4082R55,ERNG,Ruby,Round,Red,2,4.00,0.55,0.31,0,SI1,SI1,16,GH,SI1,18KW,,,725.00,1450.00,0.00,0.00,G4082R.JPG,18K White Gold Cluster Earring 0.55ct Round Ruby D.31
G4082R65,ERNG,Ruby,Round,Red,2,4.00,0.65,0.33,0,SI1,SI1,16,GH,SI1,18KW,,,725.00,1450.00,0.00,0.00,G4082R.JPG,18K White Gold Cluster Earring 0.65ct Round Ruby D.33
BC42R12,TNSB,Ruby,Round,Red,12,,4.15,2.88,0,,,264,,,18KW,,,5875.00,11750.00,0.00,0.00,BC42R.JPG,RUBY 4.15. D 2.88. 18KW
G4516R95,ERNG,Ruby,Round,Red,2,4.5,0.95,0.35,0,SI1,SI1,24,GH,SI1,18KW,,,900.00,1800.00,0.00,0.00,G4516R.JPG,18K White Gold Halo Earring 0.95ct Round Ruby D.35
GM45R70,ERNG,Ruby,Round,Red,2,4.5,0.70,0.21,0,SI1,SI1,32,GH,SI1,18KW,,,675.00,1350.00,0.00,0.00,GM45R.JPG,18K White Gold Micro Pave Earring 0.70ct Round Ruby D.21
NM45S6,NL,Sapphire,Round,Blue,17,,6.65,1.80,0,,SI1,272,GH,SI1,18KW,,,6000.00,12000.00,0.00,0.00,NM45S.JPG,SAP 6.65 D 1.80. 18KW
NMD45R,NL,Ruby,Round,Red,11,,5.23,1.75,0,,,284,,,18KW,,,6495.00,12990.00,0.00,0.00,NMD45R.JPG,RUBY 5.23 D 1.75. 18KW
NMD45S2,NL,Sapphire,Round,Blue,11,,4.00,1.83,0,,,284,,,18KW,,,6495.00,12990.00,0.00,0.00,NMD45S.JPG,SAP 4.00. D 1.83. 18KW
NMD45E3,NL,Emerald,Round,Green,11,,3.20,1.97,0,,SI1,284,GH,SI1,18KW,,,6495.00,12990.00,0.00,0.00,NMD45E.JPG,EME 3.20.D.1.97. 18KW
BMD45R,TNSB,Ruby,Round,Red,13,,3.96,2.23,0,,SI1,325,GH,SI1,18KW,,,4995.00,9990.00,0.00,0.00,BMD45R.JPG,RUBY 3.96 D 2.23. 18KW
BM45S29,TNSB,Sapphire,Round,Blue,22,,7.98,2.21,0,,,352,,,18KW,,,6495.00,12990.00,0.00,0.00,BM45S.JPG,SAP 7.98 D 2.21. 18KW
BM45S31,TNSB,Sapphire,Round,Blue,22,,8.96,2.21,0,,,352,,,18KW,,,6495.00,12990.00,0.00,0.00,BM45S.JPG,SAP 8.96. D2.21. 18KW
GM47S105,ERNG,Sapphire,Round,Blue,2,4.7,1.05,0.60,0,SI1,SI1,24,GH,SI1,18KW,,,1450.00,2900.00,0.00,0.00,GM47S.JPG,18K White Gold Micro Pave Earring 1.05ct Round Blue Sapphire D.60
NR50E5,NL,Emerald,Round,Green,11,,3.12,1.30,0,,SI1,180,GH,SI1,18KW,,,5975.00,11950.00,0.00,0.00,NR50E.JPG,EME 3.12. D1.30. 18KW
NR50R8,NL,Ruby,Round,Red,11,,4.49,1.30,0,,,180,,,18KW,,,4995.00,9990.00,0.00,0.00,NR50R.JPG,RUBY 4.49. D1.30. 18KW
FTR12055,STU,Ruby,Round,Red,2,,0.55,0.00,0,,,0,,,18KW,,,200.00,400.00,0.00,0.00,ftr16090.JPG,RUBY 0.55. 18K
FTR16085,STU,Ruby,Round,Red,2,,0.85,0.00,0,,,0,,,18KW,,,250.00,500.00,0.00,0.00,ftr16090.JPG,RUBY 0.85. 18K
G6024S170,ERNG,Sapphire,Round,Blue,2,,1.70,0.26,0,,SI1,24,GH,SI1,18KW,,,2500.00,5000.00,0.00,0.00,G6024S.jpg,18K White Gold Micro Pave Earring 1.70ct Round Sapphire D.26
R8H60R1,RG,Ruby,Round,Red,1,,1.04,0.77,0,SI1,SI1,94,GH,SI1,18KW,6.5,"""Aglaia"" Ring",2750.00,5500.00,2.20,3.70,R8H60R.jpg,18K White Gold Double Halo Twisted Shank Ring 1.04ct Round Ruby D.77
G91S,ERNG,Sapphire,Round,Blue,20,2.5,0.75,0.48,0,SI1,SI1,46,GH,SI1,18KW,,,950.00,1900.00,0.00,0.00,G91S.JPG,18K White Gold Level Back Micro Pave Earring 0.75ct Round Blue Sapphire D.48
PMB40S30,PDT,Sapphire,Round,Blue,1,4.00,0.30,0.20,0,SI1,SI1,8,GH,SI1,18KW,,,445.00,890.00,0.00,0.00,PMB40S.JPG,18K White Gold Halo Pendant 0.30ct Round Blue Sapphire D.20
P543E85,PDT,Emerald,Oval,Green,5,4x3,0.85,0.27,0,SI1,SI1,9,GH,SI1,18KW,,,725.00,1450.00,0.00,0.00,P543E.JPG,18K White Gold Flower Pendant 0.85ct Oval Emerald D.27
PFL43E80,PDT,Emerald,Oval,Green,5,4x3,0.80,0.25,0,SI1,SI1,36,GH,SI1,18KW,,,850.00,1700.00,0.00,0.00,pfl43e.JPG,18K White Gold Flower Pendant 0.80ct Oval Emerald D.25
PFL43R115,PDT,Ruby,Oval,Red,5,4x3,1.15,0.25,0,SI1,SI1,36,GH,SI1,18KW,,,650.00,1300.00,0.00,0.00,pfl43r.JPG,18K White Gold Flower Pendant 1.15ct Oval Ruby D.25
GFL43E1,ERNG,Emerald,Oval,Green,10,4x3,1.34,0.45,0,SI1,SI1,62,GH,SI1,18KW,,,1500.00,3000.00,0.00,0.00,GFL43E.JPG,18K White Gold Flower Earring 1.34ct Oval Emerald D.45
B436CS52,TNSB,Sapphire,Oval,Blue,20,,4.67,1.68,0,,,120,,,18KW,,,4000.00,8000.00,0.00,0.00,B436CS.JPG,SA 4.67. D.1.68. 18KW
B436CR32,TNSB,Ruby,Oval,Red,20,,3.85,1.74,0,,SI1,120,GH,SI1,18KW,,,4500.00,9000.00,0.00,0.00,B436C.JPG,RUBY 3.85. DIA 1.74. 18KW
B43XE27,TNSB,Emerald,Oval,Green,27,,4.28,1.84,0,,SI1,135,GH,SI1,18KW,,,5375.00,10750.00,0.00,0.00,b43xe.JPG,EME 4.28. D.1.84. 18KW
N438R5,NL,Ruby,Oval,Red,9,,2.42,1.28,0,,,208,,,18KW,,,4000.00,8000.00,0.00,0.00,N438R.JPG,RUBY 2.42. D 1.28. 18KW
N438E5,NL,Emerald,Oval,Green,9,,1.47,1.32,0,,,208,,,18KW,,,3750.00,7500.00,0.00,0.00,N438E.JPG,EME 1.47 D 1.32. 18KW
B438R1,TNSB,Ruby,Oval,Red,13,,2.98,2.64,0,,,260,,,18KW,,,4750.00,9500.00,0.00,0.00,B438R.JPG,RUBY 2.98. D.2.64. 18KW
B465S78,TNSB,Sapphire,Round,Blue,25,,10.98,1.28,0,,SI1,25,GH,SI1,18KW,,,5450.00,10900.00,0.00,0.00,B465S.JPG,SAP 10.98. D1.28. 18KW
PM47P,PDT,P. Sapphire,Round,Pink,1,,0.53,0.33,0,,SI1,0,GH,SI1,18KW,,,600.00,1200.00,0.00,0.00,PM47P.jpg,Pink Sapphire 0.53ct. Dia 0.33ct. 18K White Gold
G4516E65,ERNG,Emerald,Round,Green,2,4.5,0.65,0.35,0,,,24,,,18KW,,,1175.00,2350.00,0.00,0.00,G4516E.JPG,18K White Gold Halo Earring 0.65ct Round Emerald D.35
GF45S,ERNG,Sapphire,Round,Blue,2,4.5,0.86,0.46,0,SI1,SI1,34,GH,SI1,18KW,,,1150.00,2300.00,0.00,0.00,gf45s.JPG,18K White Gold Micro Pave Earring 0.86ct Round Blue Sapphire D.46
BM45R15,TNSB,Ruby,Round,Red,22,,8.40,2.03,0,,SI1,352,GH,SI1,18KW,,,6495.00,12990.00,0.00,0.00,BM45R.jpg,RUBY 8.40 D.2.03. 18KW
PF1H47S55,PDT,Sapphire,Round,Blue,1,4.7,0.55,0.37,0,SI1,SI1,59,GH,SI1,18KW,,,1150.00,2300.00,0.00,0.00,PF1H47S.JPG,18K White Gold Fraim Micro Pave Pendant 0.55ct Round Blue Sapphire D.37
P50103R1,PDT,Ruby,Round,Red,1,5.00,0.59,0.23,0,SI1,SI1,13,GH,SI1,18KW,,,750.00,1500.00,0.00,0.00,P50103R.JPG,18K White Gold Cluster Pendant 0.59ct Round Ruby D.23
P50103S62,PDT,Sapphire,Round,Blue,1,,0.62,0.35,0,,SI1,13,GH,SI1,18KW,,,750.00,1500.00,0.00,0.00,P50103S.jpg,SAP 0.62. D.35. 18KW
B542BR13,TNSB,Ruby,Oval,Red,24,,7.51,0.84,0,,,20,,,18KW,,,4000.00,8000.00,0.00,0.00,b542br.JPG,RUBY 7.51. D.84. 18KW
GMB54R90,ERNG,Ruby,Oval,Red,2,5x4,0.90,0.36,0,SI1,SI1,28,GH,SI1,18KW,,,925.00,1850.00,0.00,0.00,GMB54R.JPG,18K White Gold Halo Earring 0.90ct Oval Ruby D.36
B542BT,TNSB,Tanzanite,Oval,,22,,8.14,0.78,0,,SI1,40,GH,SI1,18KW,,,3250.00,6500.00,0.00,0.00,B542BT.jpg,TANZ 8.14. BAG D.78. 18KW
B5422S57,TNSB,Sapphire,Oval,Blue,24,,9.61,1.39,0,,,48,,,18KW,,,4500.00,9000.00,0.00,0.00,b5422s.JPG,SAP 9.61. D1.39. 18KW
N54XR27,NL,Ruby,Oval,Red,17,,7.00,1.28,0,,SI1,90,GH,SI1,18KW,,,6000.00,12000.00,0.00,0.00,N54XR.jpg,RUBY 7.00. D1.28. 18KW
N546CE20,NL,Emerald,Oval,Green,15,,4.65,2.09,0,,SI1,96,GH,SI1,18KW,,,8000.00,16000.00,0.00,0.00,N546CE.JPG,EME 4.65 D.96/2.09. 18KW
N546CS24,NL,Sapphire,Oval,Blue,15,,7.05,2.10,0,,SI1,96,GH,SI1,18KW,,,6625.00,13250.00,0.00,0.00,N546CS.JPG,SAP 15/7.05 DIA 2.10. 18KW
B54XS77,TNSB,Sapphire,Oval,Blue,21,,10.64,2.05,0,,,105,,,18KW,,,4995.00,9990.00,0.00,0.00,B54X.JPG,SAP 10.64 D 2.05. 18KW
B54XR56,TNSB,Ruby,Oval,Red,21,,8.54,2.18,0,,SI1,105,GH,SI1,18KW,,,5500.00,11000.00,0.00,0.00,B54XR.JPG,RUBY 8.54 D 2.18. 18KW
B546CS47,TNSB,Sapphire,Oval,Blue,18,,8.78,2.21,0,,,108,,,18KW,,,5375.00,10750.00,0.00,0.00,B546CS.JPG,SAP 8.78 DIA 2.21. 18KW
B546CS11,TNSB,Sapphire,Oval,Blue,18,,8.15,2.24,0,,,108,,,18KW,,,5375.00,10750.00,0.00,0.00,B546CS.JPG,SAP 8.15 DIA 2.24. 18KW
NMB54S,NL,Sapphire,Oval,Blue,11,,5.32,1.47,0,,,166,,,18KW,,,6495.00,12990.00,0.00,0.00,NMB54S.JPG,SAP 5.32. D 1.47. 18KW
N544E6,NL,Emerald,Oval,Green,11,,3.69,1.33,0,,SI1,180,GH,SI1,18KW,,,6495.00,12990.00,0.00,0.00,N544E.JPG,EM 11/3.69. D.180/1.33. 18KW
N544S24,NL,Sapphire,Oval,Blue,11,,3.60,1.79,0,,SI1,180,GH,SI1,18KW,,,4625.00,9250.00,0.00,0.00,N544S.JPG,SAP 3.60 D 1.79. 18KW
N548M5,NL,Multi Color,Oval,Nulti,9,,4.74,3.52,0,,,190,,,18KW,,,6250.00,12500.00,0.00,0.00,N548M.JPG,RB SAP 9/4.74 DIA 3.52. 18KW
B548R8,TNSB,Ruby,Oval,Red,11,,4.58,3.26,0,,SI1,242,GH,SI1,18KW,,,5750.00,11500.00,0.00,0.00,B548.JPG,RUBY 4.58 DIA 3.26. 18KW
N5414S4,NL,Sapphire,Oval,Blue,11,,5.18,1.15,0,,SI1,284,GH,SI1,18KW,,,4875.00,9750.00,0.00,0.00,N5414S.JPG,SAP 5.18 D 1.15. 18KW
N5414E4,NL,Emerald,Oval,Green,11,,3.28,1.19,0,,,284,,,18KW,,,6000.00,12000.00,0.00,0.00,N5414E.JPG,EME 3.28. D1.19. 18KW
N5414R10,NL,Ruby,Oval,Red,11,,5.59,1.20,0,,SI1,284,GH,SI1,18KW,,,4500.00,9000.00,0.00,0.00,N5414R.JPG,RUBY 5.59 D 1.20. 18KW
B5414E5,TNSB,Emerald,Oval,Green,14,,4.02,1.74,0,,,322,,,18KW,,,5495.00,10990.00,0.00,0.00,B5414E.jpg,EME 4.02 DIA 1.74. 18KW
PF1H55S70,PDT,Sapphire,Round,Blue,1,5.5,0.70,0.37,0,SI1,SI1,59,GH,SI1,18KW,,,1250.00,2500.00,0.00,0.00,PF1H55S.JPG,18K White Gold Fraim Micro Pave Pendant 0.70ct Round Blue Sapphire D.37
PD64S60,PDT,Sapphire,Oval,Blue,1,6x4,0.60,0.25,0,SI1,SI1,32,GH,SI1,18KW,,,725.00,1450.00,0.00,0.00,PD64S.JPG,18K White Gold Micro Pave Pendant 0.60ct Oval Blue Sapphire D.25
B6425S4,TNSB,Sapphire,Oval,Blue,20,,13.33,2.03,0,,SI1,40,GH,SI1,18KW,,,6250.00,12500.00,0.00,0.00,B6425.JPG,SAP 13.33.DIA 2.03. 18KW
PF364R50,PDT,Ruby,Oval,Red,1,6x4,0.50,0.30,0,SI1,SI1,47,GH,SI1,18KW,,,825.00,1650.00,0.00,0.00,PF364R.JPG,18K White Gold Fraim Micro Pave Pendant 0.50ct Oval Ruby D.30
PF364R55,PDT,Ruby,Oval,Red,1,6x4,0.55,0.30,0,SI1,SI1,47,GH,SI1,18KW,,,825.00,1650.00,0.00,0.00,PF364R.JPG,18K White Gold Fraim Micro Pave Pendant 0.55ct Oval Ruby D.30
P664R45,PDT,Ruby,PS,Red,1,6x4,0.45,0.30,0,SI1,SI1,58,GH,SI1,18KW,,,675.00,1350.00,0.00,0.00,p664r.JPG,18K White Gold Micro Pave Pendant 0.45ct Pear Ruby D.30
