Vendor SKU,Category,Center Stone Type,Center Stone Shape,Center Stone Color,# of Center Stones,Center Stone Measurements,Center Stone Weight,Total Diamond Weight,# of side Diamonds,Color of Side diamonds,Clarity of Side diamonds,# of Pave Diamonds,Color of Pave diamonds,Clarity of Pave Diamonds,Metal,Ring Size,Item Name,R2Net Cost,Suggested Retail,Shank Width in MM,Shank Height,Image Name,Long Description
RTF234R,RG,Ruby,EC,Red,1,,2.34,0.46,2,SI1,SI1,44,GH,SI1,18KW,,,10000.00,20000.00,0.00,0.00,rtf234r.jpg,RUBY 2.34CT. F DIA 2/0.26CT. RD DIA 44/0.20
RH2S205,RG,Sapphire,,Blue,1,,2.05,0.96,2,SI1,SI1,48,GH,SI1,18KW,6.5,"""Puerto Montt"" Ring",5500.00,11000.00,0.00,0.00,RH2S205.jpg,SA 2.05. HM.42. RD.54. 18KW
NCA75R313,NL,Ruby,Cushion,Red,26,,29.36,9.50,27,,,1018,,,18KW,,,90000.00,180000.00,0.00,0.00,NCA75R313.jpg,RUBY 29.36. F 5.03. RD 4.47. 18KW
G4516S90,ERNG,Sapphire,Round,Blue,2,4.5,0.90,0.35,0,SI1,SI1,24,GH,SI1,18KW,,,900.00,1800.00,0.00,0.00,G4516S.jpg,18K White Gold Halo Earring 0.90ct Round Sapphire D.30
P91R,PDT,Ruby,Round,Red,10,2.5,0.40,0.21,0,SI1,SI1,18,GH,SI1,18KW,,,425.00,850.00,0.00,0.00,P91R.jpg,18K White Gold Micro Pave Pendant 0.40ct Round Ruby
PE16970,PDT,Emerald,PS,Green,1,,1.22,0.15,0,,SI1,0,GH,SI1,18KW,,,2800.00,5600.00,0.00,0.00,,EMERALD 1.22CT. DIA 0.15CT. 18W
RHF157S,RG,Sapphire,Oval,Blue,1,,1.57,0.37,0,,SI1,2,GH,SI1,18KW,,,2600.00,5200.00,2.00,4.00,rhf157s.jpg,SAPPHIRE 1.57CT. HM DIA 0.37CT. 18W
RH2S231,RG,Sapphire,Oval,Blue,1,,2.31,0.98,2,SI1,SI1,48,GH,SI1,18KW,6.5,"""Mar del plata"" Ring",4500.00,9000.00,3.70,4.80,RH2S231.jpg,18K White Gold Three Stone Halo Ring 2.31ct Oval Blue Sapphire HM.42 RD.56
R1211S,RG,Sapphire,Round,Blue,1,9.4,4.45,1.32,0,SI1,SI1,12,GH,SI1,18KW,6.5,"""Angerona"" Ring",14000.00,28000.00,3.00,1.60,R1211S.jpg,18K White Gold Cluster Ring 4.45ct Round Natural Blue Sapphire D1.32
RHF315S,RG,Sapphire,Oval,Blue,1,,3.15,0.72,2,SI1,SI1,42,GH,SI1,18KW,6.5,"""Carina""Ring",5250.00,10500.00,2.90,2.50,RHF315S_.jpg,18K White Gold Three Stone Halo Ring 3.15ct Oval Sapphire HM 2/0.36ct. RD 42/0.36ct
RP462R,ERNG,Ruby,PS,Red,2,,4.62,2.00,0,,SI1,0,GH,SI1,18KW,,,16000.00,32000.00,0.00,0.00,rp462r.jpg,RUBY 4.62CT. DIA 2.00CT. 18W
