Supplier ID,Stone Type,Shape,Carat Weight,Primary Color,Price per Carat,Stock #,Color System,Stone Image,Certificate Image,Additional Image,Dimensions,Availability,Origin,Description,Treatment Notes,Lab,Certificate ID
,SA,RD,1.22,BLU,1100.00,SR590966,,SR590966.jpg,,,5.90|5.90|4.30,,,Sapphire. Round. Blue 5.9MM,H,,
,EM,RD,1.23,GRN,1500.00,ER1230,,ER1230.jpg,,,7.50|7.50|3.70,,,RD Emerald  Gem. 7.5MM,O,,xer7500
,RU,RD,1.24,RED,1750.00,RR1240,,RR1240.jpg,,,6.10|6.10|4.40,,,RD Ruby Gem 6.1MM,H,,xrr6100
,SA,RD,1.24,BLU,1100.00,SR601255,,SR601255.jpg,,,6.00|6.00|4.00,,,Sapphire. Round. Blue 6.0MM,H,,
,SA,OV,1.25,BLU,475.00,SV1251,,sv1251.jpg,,,7.60|6.10|3.00,,,OV Sapphire Gem 7.60x6.10,H,,sv1251
,RU,OV,1.25,RED,485.00,RV12500AZ,,rv12500az.jpg,,,6.80|5.40|4.00,,,Ruby. Oval. Red 6.8X5.4,H,,
,EM,RD,1.25,GRN,725.00,ER670055,,er670055.jpg,,,6.70|6.70|4.50,,,Emerald. Round. Green 4.5MM,O,,
,RU,OV,1.26,RED,575.00,RV1261,,RV1261.jpg,,,7.30|5.20|3.60,,,OV Ruby Gem 7.30x5.20,H,,
,Y. SAP,RD,1.26,Yellow,225.00,YR12600,,,,,6.00|6.00|4.20,,,Yellow Sapphire. Round. Yellow 6.0MM,H,,
,SA,RD,2.52,BLU,750.00,XSR61010,,,,,6.10|6.10|4.40,,,Sapphire. Round. Blue 6.1X6.1,H,,
,EM,RD,2.54,GRN,575.00,XER6700,,XER6700.jpg,,,6.70|6.70,,,RD Emerald Pair Gem. 6.7,O,,xer6700
,SA,OV,1.27,BLU,650.00,SV12702,,sv12702.jpg,,,7.90|5.70|3.30,,,Sapphire. Oval. Blue 7.9X5.7,H,,
,EM,RD,1.27,GRN,1100.00,ER670066,,,,,6.70|6.70|4.70,,,Emerald. Round. Green 6.7MM,O,,
,GS,CU,1.28,GRN,285.00,GC1280,,,,,6.00|6.00|4.00,,,CC G. Sapphire Gem 6.00,,,gc1280
,SA,OV,1.29,BLU,850.00,SV12900,,sv12900.jpg,,,7.40|6.20|3.50,,,Sapphire. Oval. Blue 7.4X6.2,H,,
,LV,RD,1.30,LAV,350.00,LR1300,,LR1300.jpg,,,5.90|5.90|4.20,,,RD L. Sapphire Gem 5.90,E,,lr1300
,SA,OV,1.30,BLU,850.00,SV13004,,sv13004.jpg,,,7.60|5.50|3.20,,,Sapphire. Oval. Blue 7.6X5.5,H,,
,SA,CU,1.30,BLU,1150.00,SC13000,,sc13000.jpg,,,7.30|5.80|3.40,,,Sapphire. Cushion. Blue 7.3MM,H,,
,PS,OV,1.30,PNK,450.00,PV13000,,pv13000.jpg,,,7.00|5.10|3.30,,,P. Sapphire. Oval. Pink 7.0X5.1,,,
,PS,OV,1.31,PNK,425.00,PV1310,,PV1310.jpg,,,7.00|5.60|3.60,,,OV P.Sapphire Gem 7.00x5.60,E,,pv1310
,GS,CU,1.31,GRN,285.00,GC1310,,,,,6.00|6.00|4.10,,,CC G. Sapphire Gem 6.00,,,gc1310
,LV,CU,1.32,LAV,325.00,LC1320,,LC1320.jpg,,,6.10|6.00|3.90,,,CC L.Sapphire Gem 6.10x6.00,,,lc1320
,GS,CU,1.33,GRN,450.00,GC13300,,,,,6.60|6.60|3.40,,,G. Sapphire. Cushion. Green 6.6MM,,,
,SA,TR,1.34,BLU,550.00,ST1340,,st1340.jpg,,,6.80|6.80|3.60,,,TR Sapphire Gem. 6.8,H,,st1340
,PS,OV,1.34,PNK,650.00,PV1340,,PV1340.jpg,,,8.00|6.00|2.90,,,OV P.Sapphire Gem 8.00x6.00,E,,pv1340
,YS,RD,1.34,Yellow,225.00,YR13401,,yr13401.jpg,,,6.30|6.30|3.70,,,Y. Sapphire. Round. Yellow 6.3,,,
,EM,RD,1.34,GRN,1100.00,ER750155,,er750155.jpg,,,7.50|7.50|4.50,,,Emerald. Round. Green 7.5MM,O,,
,YS,RD,1.35,Yellow,250.00,YR1350,,YR1350.jpg,,,5.90|5.90|4.60,,,Y. Sapphire. Round. Yellow,,,yr1350
,YS,RD,1.35,Yellow,200.00,YR13500,,YR13500.jpg,,,6.40|6.40|3.60,,,Y. Sapphire. Round. Yellow 6.4MM,,,
,SA,CU,1.37,BLU,950.00,SC1371,,SC1371.jpg,,,7.50|5.80|3.60,,,CC Sapphire Gem 7.50x5.80,H,,sc1371
,YS,OV,1.39,Yellow,250.00,YV13900,,yv13900.jpg,,,7.80|6.00|3.30,,,Sapphire. Oval. Yellow 7.8X6.0,,,
,SA,RD,1.39,BLU,1100.00,SR601266,,sr601266.jpg,,,6.00|6.00|4.50,,,Sapphire. Round. Blue 6.0MM,H,,
,YS,OV,1.40,Yellow,250.00,YV1401,,yv1401.jpg,,,7.90|5.70|3.50,,,OV Y.Sapphire Gem 7.90x5.70,,,
,YS,RD,1.40,Yellow,275.00,YR14000,,YR14000.jpg,,,6.60|6.60|3.85,,,Y. Sapphire. Round. Yellow 6.6MM,,,
,SA,CU,1.42,BLU,975.00,SC1422,,sc1422.jpg,,,7.00|5.50|3.80,,,CC Sapphire Gem 7.00x5.50,H,,sc1422
,SA,OV,1.42,BLU,575.00,SV14200,,sv14200.jpg,,,7.30|5.50|4.20,,,Sapphire. Oval. Blue 7.3X5.5,H,,
,EM,MQ,1.43,GRN,2750.00,EM1430,,EM1430.jpg,,,11.20|6.00|3.80,,,MQ Emerald Gem. 11.2-6.0,O,,em1430
,SA,TR,1.43,BLU,550.00,ST1430,,ST1430.jpg,,,6.60|6.60|4.20,,,TR Sapphire Gem. 6.6,H,,st1430
,GS,RD,1.44,GRN,285.00,GR1440,,,,,6.30|6.30|4.00,,,RD G. Sapphire Gem 6.30,,,gr1440
,GS,RD,1.45,GRN,375.00,GR14500,,,,,6.40|6.40|4.10,,,G. Sapphire. Round. Green,,,
,YS,OV,1.46,Yellow,250.00,YV1461,,YV1461.jpg,,,8.00|6.20|3.60,,,OV Y.Sapphire Gem 8.00x6.20,,,
,EM,RD,1.47,GRN,950.00,ER1490,,ER1490.jpg,,,7.40|7.40|4.30,,,RD Emerald Gem,O,,er1490
,YS,RD,1.47,Yellow,275.00,YR14700,,YR14700.jpg,,,6.50|6.50|4.00,,,Y. Sapphire. Round. Yellow 6.5MM,,,
,RU,RD,1.47,RED,3000.00,RR310055,,RR310055.jpg,,,7.00|7.00|3.70,,,Ruby. Round. Red 7.0MM,H,,
,LV,CU,1.49,LAV,375.00,LC1490,,LC1490.jpg,,,6.80|6.70|3.50,,,CC L. Sapphire Gem 6.80x6.70,,,lc1490
,YS,OV,1.50,Yellow,235.00,YV15000,,yv15000.jpg,,,8.00|6.10|3.50,,,Sapphire. Oval. Yellow 8.0X6.1,,,
,EM,RD,1.50,GRN,850.00,ER750166,,er750166.jpg,,,7.50|7.50|4.50,,,Emerald. Round. Green 7.5MM,O,,
,SA,TR,1.51,BLU,450.00,ST1510,,st1510.jpg,,,6.70|6.70|4.00,,,TR Sapphire Gem. 6.7,H,,st1510
,YS,RD,1.51,Yellow,250.00,YR15100,,YR15100.jpg,,,6.50|6.50|4.00,,,Y. Sapphire. Round. Yellow 6.5MM,,,
,SA,OV,1.52,BLU,475.00,SV15200,,sv15200.jpg,,,7.50|5.80|4.00,,,Sapphire. Oval. Blue 7.5X5.8,H,,
,PS,OV,1.53,PNK,375.00,PV1530,,PV1530.jpg,,,7.40|5.70|3.70,,,OV P.Sapphire Gem 7.40x5.70,E,,pv1530
,SA,CU,1.54,BLU,850.00,SC15400,,sc15400.jpg,,,6.90|5.70|4.40,,,Sapphire. Cushion. Blue 6.9X5.7,H,,
,SA,OV,1.55,BLU,525.00,SV15500,,sv15500.jpg,,,8.00|6.10|3.40,,,Sapphire. Oval. Blue 8.0X6.1,H,,
,LV,CU,1.57,LAV,450.00,LC1570,,LC1570.jpg,,,6.50|6.50|4.30,,,CC L.Sapphire Gem 6.50,,,lc1570
,SA,CU,1.57,BLU,825.00,SC15701,,sc15701.jpg,,,7.40|5.80|4.00,,,Sapphire. Cushion. Blue 7.4X5.8,H,,
,P. SAP,CU,3.18,Pink,450.00,XPC7001,,,,,7.00|7.00|3.30,,,CC P.Sapphire Pair Gem 7.00,H,,xpc7001
,SA,OV,1.59,BLU,475.00,SV15900,,sv15900.jpg,,,7.50|5.60|4.20,,,Sapphire. Oval. Blue 7.5X5.6,H,,
,PS,CU,1.60,PNK,800.00,PC1600,,PC1600.jpg,,,6.50|6.50|4.00,,,CC P. Sapphire Gem 6.50,,,pc1600
,SA,TR,1.60,BLU,550.00,ST1600,,ST1600.jpg,,,7.00|7.00|4.10,,,TR Sapphire Gem. 7.0,H,,st1600
,SA,OV,1.60,BLU,475.00,SV16000,,sv16000.jpg,,,7.20|6.00|4.10,,,Sapphire. Oval. Blue 7.2X6.0,H,,
,PS,RD,1.61,PNK,500.00,PR1610,,pr1610.jpg,,,6.40|6.40|4.50,,,RD P.Sapphire Gem 6.40,,,pr1610
,SA,CU,1.61,BLU,900.00,SC16100,,sc16100.jpg,,,7.00|6.00|4.10,,,Sapphire. CC. Blue,H,,
,SA,CU,72.84,,0.00,MN1000,,,,,,,,Sapphire. Cushion,H,,
,GS,CU,1.65,GRN,285.00,GC1650,,,,,6.40|6.40|4.40,,,CC G. Sapphire Gem 6.40,,,gc1650
,SA,OV,1.66,BLU,475.00,SV16600,,sv16600.jpg,,,7.00|6.00|4.30,,,Sapphire. Oval. Blue 7.0X6.0,H,,
,RU,PS,1.68,RED,1750.00,RP1680,,RP1680.jpg,,,9.00|6.40|3.70,,,PS Ruby Gem 9.00x6.40,H,,rp1680
,YS,HS,1.70,Yellow,275.00,YH1700,,YH1700.jpg,,,7.40|7.10|3.80,,,HS Y.Sapphire Gem 7.40x7.10,E,,yh1700
,SA,OV,1.71,BLU,650.00,SV17100,,sv17100.jpg,,,7.20|5.70|4.50,,,Sapphire. Oval. Blue 7.2X5.7,H,,
,LV,EC,1.72,LAV,525.00,LD1710,,LD1710.jpg,,,7.50|6.20|4.00,,,EC L.Sapphire Gem 7.50x6.20,,,ld1710
,SA,PS,1.73,BLU,385.00,SP1735,,SP1735.jpg,,,7.50|7.00|4.70,,,PS Sapphire Gem. 7.5-7.0,H,,sp1735
,SA,CU,1.73,BLU,750.00,SC1732,,SC1732.jpg,,,6.70|6.60|3.90,,,CC Sapphire Gem 6.70x6.60,H,,
,SA,PS,1.74,BLU,975.00,SP17400,,sp17400.jpg,,,9.50|5.90|4.10,,,Sapphire. PS. Blue 9.5X5.9,H,,
,SA,TR,1.76,BLU,350.00,ST1760,,st1760.jpg,,,7.30|7.30|4.00,,,TR Sapphire Gem. 7.3,H,,st1760
,PS,OV,1.77,PNK,450.00,PV17700,,pv17700.jpg,,,8.00|5.80|4.00,,,P. Sapphire. Oval. Pink 8.0X5.8,,,
,LV,HS,1.80,LAV,350.00,LH1800,,LH1800.jpg,,,7.70|7.20|4.30,,,HS L. Sapphire Gem 7.70x7.20,E,,lh1800
,PS,CU,1.80,PNK,1250.00,PC1801,,PC1801.jpg,,,8.10|6.20|3.90,,,CC P.Sapphire Gem 8.10x6.20,,,
,PS,PS,1.82,PNK,600.00,PP1820,,pp1820.jpg,,,8.30|6.10|4.30,,,PS P. Sapphire Gem 8.30x6.10,E,,pp1820
,SA,OV,1.82,BLU,475.00,SV18200,,,,,8.10|6.10,,,Sapphire. Oval. Blue 8.1X6.1,H,,
,YS,CU,1.86,Yellow,350.00,YC1860,,YC1860.jpg,,,7.30|7.30|4.00,,,CC Y. Sapphire Gem 7.30,,,
,EM,EC,1.86,GRN,1750.00,EE18600NY,,,,,8.50|6.80|4.40,,,Emerald. EC. Green 8.5x6.8,O,,
,EM,EC,1.87,GRN,1600.00,EE1871SH,,,,,9.00|6.90|4.40,,,Emerald. EC. Green 9.0X6.9,O,,
,LV,OV,1.91,LAV,400.00,LV1910,,LV1910.jpg,,,7.90|6.40|3.90,,,OV L.Sapphire Gem 7.90x6.40,E,,pv1910
,SA,OV,1.92,BLU,675.00,SV19200,,sv19200.jpg,,,7.80|6.30|4.40,,,Sapphire. Oval. Blue. 7.8X6.3,H,,
,PS,CU,1.93,PNK,475.00,PC19300,,pc19300.jpg,,,7.50|7.50|3.50,,,P. Sapphire. Cushion. Pink 7.5X7.5,,,
