Supplier ID,Stone Type,Shape,Carat Weight,Primary Color,Price per Carat,Stock #,Color System,Stone Image,Certificate Image,Additional Image,Dimensions,Availability,Origin,Description,Treatment Notes,Lab,Certificate ID
,SA,OV,2.04,BLU,1200.00,SV40455,,SV40455.jpg,,,7.70|6.10|4.70,,,Sapphire. Oval. Blue 7.7X6.1,H,,
,PS,CU,2.13,PNK,475.00,XPC21300,,xpc21300.jpg,,,6.00|6.00|3.30,,,P. Sapphire. Cushion. Pink 6.0X6.0,H,,
,PA,OV,2.64,BLU,5000.00,PBV2640,,PBV2640.jpg,,,10.10|7.80|4.40,,,Paraiba. Oval. Blue 10.1X7.8MM,,,
,PA,CU,2.75,BLU,12000.00,PBC2750Z,,PBC2750Z.jpg,,,8.40|7.60|5.60,,,Paraiba. Cushion. Blue 8.4X7.6MM,,,
,SA,CU,2.83,BLU,1750.00,SC2830MN,,,,,8.20|8.20,,,Sapphire. Cushion. Blue 8.2X8.2,H,,
,PS,RAD,3.91,PNK,1200.00,PD3910NS,,PD3910NS.jpg,,,10.40|8.00|5.10,,,P. Sapphire. RAD. Pink10.4X8.0,H,,
,SA,CU,6.03,BLU,1250.00,SC6030NS,,sc6030ns.jpg,,,11.40|9.50|5.90,,,Sapphire. Cushion. Blue 11.4X9.4,H,,
,SA,OV,7.15,BLU,1275.00,SV7150NS,,SV7150NS.jpg,,,12.70|10.10|6.60,,,Sapphire. Oval. Blue 12.7X10.10,H,,
,RU,RD,0.80,RED,650.00,RR08000,,rr08000.jpg,,,5.40|5.40|3.40,,,RD Ruby Gem 5.4MM,H,,rrl5059
,RU,RD,0.89,RED,495.00,RR08901,,RR08901.jpg,,,5.30|5.30|3.60,,,RD Ruby Gem 5.3MM,H,,rrl5059
,SA,OV,0.99,BLU,350.00,SV0990,,sv0990.jpg,,,7.20|4.70|3.20,,,OV Sapphire Gem. 7.2-4.7,H,,sv0990
,RU,RD,1.00,RED,875.00,RR10000,,rr10000.jpg,,,5.30|5.30|3.80,,,RD Ruby Gem 5.3MM,H,,rrl5059
,RU,RD,1.10,RED,850.00,RR11000,,rr11000.jpg,,,5.50|5.50|4.40,,,RD Ruby Gem 5.5MM,H,,rrl5059
,EM,PS,1.18,GRN,1250.00,EP1180,,EP1180.jpg,,,8.60|5.60|4.30,,,PS Emerald Gem. 8.6-5.6,O,,ep1180
,PS,OV,1.24,PNK,450.00,PV1240,,PV1240.jpg,,,6.70|5.40|3.80,,,OV P.Sapphire Gem 6.7x5.4mm,H,,pv1240
,SA,OV,1.76,BLU,450.00,SV1760,,sv1760.jpg,,,8.10|6.30|4.00,,,OV Sapphire Gem. 8.3-6.6,H,,sv1760
,,CC,194.32,,0.00,IC1000,,,,,,,,MIX  Gem,H,,ic1000
,SA,OV,4.45,BLU,2250.00,SV4450,,sv4450.jpg,,,10.10|8.20|6.10,,,OV Sapphire Gem. 10.1-8.2,H,,sv4450
,SA,OV,7.35,BLU,2000.00,SV7350,,sv7350.jpg,,,12.10|9.70|7.00,,,OV Sapphire Gem. 12.1-9.7,H,,sv7350
,YS,RD,1.00,Yellow,150.00,YR10000,,yr10000.jpg,,,5.60|5.60|4.10,,,Y. Sapphire. Round. Yellow 5.6MM,H,,
,PA,RD,0.93,BLU,2000.00,PBRL13Z,,PBRL13Z.jpg,,,1.30|1.30,,,Paraiba. Round. Blue 1.3MM,H,,
,EM,TR,0.11,GRN,650.00,XET2500,,,,,2.50|2.50,,,TR Emerald Pair Gem. 2.5,O,,xet2500
,PA,OV,0.12,BLU,2250.00,XPBV1200Z,,xpbv1200z.jpg,,,3.00|2.20|1.50,,,Paraiba. Oval3.0X2.2,H,,
,PA,OV,0.12,BLU,2250.00,XPBV1201Z,,xpbv1201z.jpg,,,2.90|2.20|1.80,,,Paraiba. Oval. Blue2.9X2.2,H,,
,PA,OV,0.12,BLU,2250.00,XPBV1202Z,,xpbv1202z.jpg,,,3.00|2.10,,,Paraiba. Oval. Blue3.0X2.1,H,,
,PA,OV,0.12,BLU,2250.00,XPBV1203Z,,xpbv1203z.jpg,,,3.00|2.00,,,Paraiba. Oval. Blue3.0X2.0,H,,
,EM,TR,0.14,GRN,750.00,XET3002,,,,,3.00|3.00|1.40,,,TR Emerald Pair Gem. 3.0,O,,xet3002
,PA,OV,0.13,BLU,2250.00,XPBV1300Z,,xpbv1300z.jpg,,,3.50|2.20|1.30,,,Paraiba. Oval. Blue,H,,
,PA,OV,0.14,BLU,2250.00,XPBV1400Z,,xpbv1400z.jpg,,,3.10|2.10,,,Paraiba. Oval. Blue3.1X2.1,H,,
,PA,MIX,3.39,BLU,2500.00,PBMXZ1,,PBMXZ1.jpg,,,,,,Paraiba. Mixed. Blue,H,,
,PA,TR,0.16,BLU,2500.00,XPBT0160Z,,xpbt0160z.jpg,,,2.90|2.90,,BRA,Paraiba. TR. Blue. 2.9x2.9mm,H,,
,EM,TR,0.17,GRN,650.00,XET3001,,xet3001.jpg,,,3.00|3.00,,,TR Emerald Pair Gem. 3.0-3.0,O,,xet3001
,PA,OV,0.18,BLU,2500.00,XPBV1800Z,,xpbv1800z.jpg,,,3.50|2.30,,,Paraiba. Oval. Blue3.5X2.3,H,,
,PA,OV,0.18,BLU,2000.00,XPBV1801Z,,xpbv1801z.jpg,,,3.20|2.50,,,Paraiba. Oval. Blue3.2X2.5,H,,
,PA,OV,0.17,BLU,2000.00,XPBV1700Z,,xpbv1700z.jpg,,,3.30|2.60,,,Paraiba. Oval 3.3X2.6,H,,
,PA,TR,0.17,BLU,2400.00,XPBT1701Z,,xpbt1701z.jpg,,,3.00|3.00,,,Paraiba. TR. Blue 3.0MM,H,,
,PA,TR,0.18,BLU,2500.00,XPBT1800Z,,xpbt1800z.jpg,,,2.90|2.90,,,Paraiba. TR. Blue2.9MM,H,,
,PA,OV,0.18,BLU,2500.00,XPBV18001Z,,xpbv18001z.jpg,,,3.50|2.50,,,Paraiba. Oval. Blue 3.5X2.5,H,,
,PA,OV,0.18,BLU,2500.00,XPBV1802Z,,xpbv1802z.jpg,,,3.40|2.50,,,Paraiba. Oval. Blue 3.4X2.5,H,,
,PA,TR,0.18,BLU,2500.00,XPBT0180Z,,xpbt0180z.jpg,,,2.80|2.80,,BRA,Paraiba. TR. Blue. 2.8x2.8mm,H,,
,PA,OV,0.19,BLU,2500.00,XPBV1900Z,,xpbv1900z.jpg,,,3.20|2.40,,,Paraiba. Oval. Blue3.2X2.4,H,,
,PA,OV,0.19,BLU,2500.00,XPBV1901Z,,xpbv1901z.jpg,,,3.20|2.70,,,Paraiba. Oval. Blue3.2X2.7,H,,
,PA,MQ,0.19,BLU,2500.00,PBVM1900Z,,pbvm1900z.jpg,,,5.30|2.00,,,Paraiba. MQ. Blue 5.3X2.0,H,,
,PA,OV,0.19,BLU,2500.00,XPBV1902Z,,xpbv1902z.jpg,,,3.50|2.30,,,Paraiba. Oval. Blue 3.5X2.3,H,,
,EM,RD,0.24,GRN,600.00,XER3400,,,,,3.40|3.40|2.00,,,Emerald. Round. Green 3.4mm,O,,
,EM,TR,0.25,GRN,550.00,XET3300,,xet3300.jpg,,,3.30|3.30,,,TR Emerald Pair Gem. 3.3,O,,xet3300
,EM,TR,0.28,GRN,650.00,XET3401,,xet3401.jpg,,,3.40|3.40,,,TR Emerald Pair Gem. 3.4,O,,xet3401
,EM,TR,0.28,GRN,450.00,XET3706,,,,,3.70|3.70,,,TR Emerald Pair Gem. 3.7,O,,xet3706
,PA,OV,0.28,BLU,3750.00,XPBV2800Z,,xpbv2800z.jpg,,,4.20|3.00|2.00,,,Paraiba. Oval. Blue 4.2X3.0,H,,
,PA,TR,0.27,BLU,4000.00,XPBT2700Z,,xpbt2800z.jpg,,,3.60|3.60|2.10,,,Paraiba. TR. Blue 3.6MM,H,,
,PA,MIX,3.18,BLU,3000.00,PBMXZ15,,pbmxz15.jpg,,,,,BRA,Paraiba. Blue. Brazil,H,,
,EM,TR,0.30,GRN,650.00,XET3501,,xet3501.jpg,,,3.50|3.50,,,TR Emerald Pair Gem. 3.5,O,,xet3501
,PA,OV,0.29,BLU,3750.00,XPBV2901Z,,xpbv2901z.jpg,,,4.10|2.90|1.90,,,Paraiba. Oval. Blue4.1X2.9,H,,
,PA,RD,0.15,BLU,4000.00,PBR1500Z,,pbr1500z.jpg,,,3.30|3.30,,,Paraiba. Round. Blue 3.3mm,H,,
,PA,RD,0.30,BLU,2500.00,XPBR300Z,,xpbr300z.jpg,,,3.20|3.20,,,Paraiba. Round. Blue 3.2MM,H,,
,PA,RD,0.29,BLU,3500.00,XPBR290Z,,xpbr290z.jpg,,,3.30|3.30,,,Paraiba. Round. Blue 3.3MM,H,,
,EM,TR,0.31,GRN,450.00,XET3601,,xet3601.jpg,,,3.60|3.60,,,TR Emerald Pair Gem. 3.6,O,,xet3601
,EM,TR,0.31,GRN,500.00,XET3702,,xet3702.jpg,,,3.70|3.70,,,TR Emerald Pair Gem. 3.7,O,,xet3702
,EM,TR,0.31,GRN,450.00,XET3701,,xet3701.jpg,,,3.70|3.70,,,TR Emerald Pair Gem. 3.7,O,,xet3701
,PA,PS,0.16,BLU,2250.00,XPBP1600Z,,xpbp1600z.jpg,,,3.80|2.50,,,Paraiba. PS. Blue 3.8X2.5,H,,
,EM,TR,0.34,GRN,650.00,XET3705,,xet3705.jpg,,,3.70|3.70,,,TR Emerald Pair Gem. 3.7,O,,xet3705
,EM,TR,0.33,GRN,600.00,XET3800,,xet3800.jpg,,,3.80|3.80,,,TR Emerald Pair Gem. 3.8,O,,xet3800
,EM,RD,0.34,GRN,650.00,XER3401,,,,,3.40|3.40|2.40,,,Emerald. Round. Green 3.4mm,O,,
,EM,TR,0.35,GRN,600.00,XET3600,,,,,3.60|3.60,,,TR Emerald Pair Gem. 3.6,O,,xet3600
,EM,TR,0.35,GRN,600.00,XET3804,,,,,3.80|3.80,,,TR Emerald Pair Gem. 3.8,O,,xet3804
,EM,RD,0.36,GRN,650.00,XER3600,,,,,3.60|3.60|2.70,,,Emerald. Round. Green 3.6mm,O,,
,EM,RD,0.37,GRN,525.00,XER3701,,XER3701.jpg,,,3.70|3.70,,,RD Emerald Pair Gem. 3.7,O,,xer3701
,EM,TR,0.37,GRN,750.00,XET3703,,xet3703.jpg,,,3.70|3.70,,,TR Emerald Pair Gem. 3.7,O,,xet3703
,EM,TR,0.39,GRN,475.00,XET4000,,xet4000.jpg,,,4.00|4.00,,,TR Emerald Pair Gem. 4.0,O,,xet4000
,EM,RD,0.41,GRN,475.00,XER3800,,XER3800.jpg,,,3.80|3.80,,,RD Emerald Pair Gem. 3.8,O,,xer3800
,EM,TR,0.41,GRN,600.00,XET4001,,xet4001.jpg,,,4.00|4.00,,,TR Emerald Pair Gem. 4.0-4.0,O,,xet4001
,RU,TR,0.41,RED,450.00,XRT4000,,XRT4000.jpg,,,4.00|4.00,,,TR Ruby Pair Gem. 4.0,H,,xrt4000
,SA,TR,0.45,BLU,450.00,XST3601,,xst3601.jpg,,,3.60|3.60|2.40,,,TR Sapphire Pair Gem. 3.6,H,,xst3601
,EM,TR,0.47,GRN,575.00,XET4400,,,,,4.40|4.40,,,TR Emerald Pair Gem. 4.4,O,,xet4400
,YS,TR,0.48,Yellow,175.00,XYT3701,,XYT3701.jpg,,,3.70|3.70,,,TR Y. Sapphire Pair Gem. 3.7,E,,xyt3701
,EM,SQ,0.50,GRN,850.00,XEPR050,,xepr050.jpg,,,4.00|4.00|2.60,,,Emerald. SQ. Green 4.0mm,O,,
,SA,RD,0.51,BLU,200.00,XSR4203,,XSR4203.jpg,,,4.20|4.20,,,RD Sapphire Pair Gem. 4.2,H,,xsr4203
,EM,TR,0.52,GRN,575.00,XET4301,,,,,4.30|4.30,,,TR Emerald Pair Gem. 4.3,O,,xet4301
,EM,SQ,0.28,GRN,725.00,EPR0280,,epr0280.jpg,,,4.00|4.00|2.90,,,Emerald. SQ. Green 4.0mm,O,,
,EM,PS,0.60,GRN,675.00,XEP51001,,xep51001.jpg,,,5.10|4.10|2.80,,,Emerald. PS. 5.1x4.1mm,H,,
,EM,RD,0.62,GRN,875.00,XER4505,,,,,4.50|4.50,,,RD Emerald Pair Gem 4.50,O,,
,SA,RD,0.61,BLU,275.00,XSR0610,,xsr0610.jpg,,,4.00|4.00|2.60,,,Sapphire. Round. 4.0MM,H,,
,PS,RD,0.61,PNK,375.00,XPR39000,,xpr39000.jpg,,,3.90|3.90|2.50,,,P. Sapphire. Round. Pink 3.9mm,H,,
,SA,RD,0.64,BLU,230.00,XSR3700,,XSR3700.jpg,,,3.70|3.70,,,RD Sapphire Pair Gem. 3.7,H,,xsr3700
,SA,RD,0.64,BLU,375.00,XSR3802,,XSR3802.jpg,,,3.80|3.80,,,Round Sapphire,H,,xsr3802
,SA,PC,0.63,BLU,450.00,XPRS3400,,,,,3.40|3.40,,,Sapphire. PC 3.4mm,H,,
,SA,RD,0.66,BLU,325.00,XSR4000,,xsr4000.jpg,,,4.00|4.00|2.70,,,Sapphire. Round. Blue 4.0MM,H,,
,SA,RD,0.66,BLU,300.00,XSR4001,,xsr4001.jpg,,,4.00|4.00|2.80,,,Sapphire. Round. Blue 4.0MM,H,,
,EM,SQ,0.66,GRN,950.00,XEPR066,,xepr066.jpg,,,4.10|4.10|3.20,,,Emerald. SQ. Green 4.1mm,O,,
,EM,TR,0.67,GRN,575.00,XET4700,,XET4700.jpg,,,4.70|4.70,,,TR Emerald Pair Gem. 4.7,O,,xet4700
,EM,TR,0.69,GRN,450.00,XET5005,,XET5005.jpg,,,5.00|5.00,,,TR Emerald Pair Gem. 5.0,O,,xet5005
,SA,RD,0.70,BLU,275.00,XSR4141,,xsr4141.jpg,,,4.10|4.10|2.90,,,Sapphire. Round. Blue 4.1MM,H,,
,EM,PS,0.36,GRN,750.00,EP0360,,EP0360.jpg,,,6.00|3.90|2.60,,,PS Emerald Gem. 6.0-3.9,O,,ep0360
,EM,RD,0.71,GRN,1300.00,XER4504,,,,,4.50|4.50,,,RD Emerald Pair Gem 4.50,O,,
,RU,TR,0.74,RED,375.00,XRT4400,,XRT4400.jpg,,,4.40|4.40,,,TR Ruby Pair Gem. 4.4,H,,xrt4400
,EM,RD,0.73,GRN,900.00,XER4805,,,,,4.80|4.80|3.00,,,Emerald Pairs. Round. Green 4.8MM,O,,
,EM,PS,0.37,GRN,785.00,EP03700,,ep03700.jpg,,,6.20|4.30|2.80,,,Emerald. PS. Green 6.2X4.3,O,,
,EM,OV,0.37,GRN,750.00,EV03700,,,,,5.70|4.00|3.00,,,Emerald. Oval. Green 5.7X4.0,O,,
,EM,PS,0.37,GRN,650.00,EP03701,,,,,5.90|4.00|2.80,,,Emerald. PS. Green 5.9x4.0,O,,
,RU,TR,0.76,RED,580.00,XRT4300,,XRT4300.jpg,,,4.30|4.30,,,TR Ruby Pair Gem. 4.3,H,,xrt4300
,SA,TR,0.75,BLU,450.00,XST4100,,XST4100.jpg,,,4.10|4.10,,,TR Sapphire Pair Gem. 4.1,H,,xst4100
,Y. SAP,TR,0.75,Yellow,175.00,XYT4240,,XYT4240.jpg,,,4.20|4.00|2.70,,,Yellow Sapphire. TR. Yellow 4.2X4.0,H,,
,SA,RD,0.76,BLU,275.00,XSR4305,,xsr4305.jpg,,,4.30|4.30|2.60,,,Sapphire. Round. Blue 4.3MM,H,,
,EM,PS,0.38,GRN,1000.00,EP03800,,,,,5.90|4.20|2.80,,,Emerald. PS. Green 5.9X4.2,O,,
,PS,RD,0.76,PNK,475.00,XPR4444,,,,,4.40|4.40|2.70,,,P. Sapphire. Round. Pink 4.4mm,H,,
,SA,RD,0.75,BLU,275.00,XSR41411,,xsr41411.JPG,,,4.10|4.10|2.30,,,Sapphire. Round 4.1mm,H,,
,EM,TR,0.78,GRN,600.00,XET4800,,XET4800.jpg,,,4.80|4.80,,,TR Emerald Pair Gem. 4.8,O,,xet4800
,EM,TR,0.77,GRN,675.00,XET5001,,xet5001.jpg,,,5.00|5.00|2.70,,,TR Emerald Pair Gem. 5.0,O,,xet5001
,EM,EC,0.39,GRN,750.00,EE03900,,,,,5.50|3.70|2.80,,,Emerald. EC. Green 5.5X3.7,O,,
,EM,OV,0.39,GRN,500.00,EV03900,,,,,5.30|4.20|2.80,,,Emerald. Oval. Green 5.3X4.2,O,,
,SA,RD,0.77,BLU,275.00,XSR41410,,xsr41410.JPG,,,4.10|4.10|2.20,,,Sapphire. Round 4.1mm,H,,
,SA,RD,0.80,BLU,230.00,XSR4302,,xsr4302.jpg,,,4.30|4.30,,,RD Sapphire Pair Gem. 4.3,H,,xsr4302
,YS,TR,0.80,Yellow,175.00,XYT4002,,XYT4002.jpg,,,4.00|4.00,,,TR Y. Sapphire Pair Gem. 4.0,E,,xyt4002
,SA,RD,0.79,BLU,275.00,XSR4206,,xsr4206.jpg,,,4.20|4.20|2.80,,,Sapphire. Round. Blue 4.2MM,H,,
,EM,EC,0.40,GRN,900.00,EE04000,,,,,5.20|3.70|2.40,,,Emerald. EC. Green 5.2X3.7,O,,
,SA,RD,0.80,Blue,500.00,XSR0800,,xsr0800.jpg,,,4.50|4.50|2.70,,,Sapphire. Round. Blue 4.5mm,H,,
,SA,RD,0.81,BLU,325.00,XSR4303,,xsr4303.jpg,,,4.30|4.30|2.80,,,Sapphire. Round. Blue 4.3MM,H,,
,SA,RD,0.82,BLU,175.00,XSR0820,,xsr0820.jpg,,,4.50|4.50|2.40,,,Sapphire. Round. Blue 4.5MM,H,,
,PS,CU,0.41,PNK,450.00,PC04100,,pc04100.jpg,,,4.30|4.30|2.60,,,Sapphire. Cushion. Pink 4.3X4.3MM,H,,
,SA,OV,0.82,BLU,225.00,XSV0820,,XSV0820.jpg,,,4.90|4.00|2.60,,,Sapphire. Oval. Blue 4.9X4.,H,,
,SA,TR,0.82,BLU,475.00,XST4301,,xst4300.jpg,,,4.30|4.30,,,Sapphire. TR. Blue 4.3MM,H,,
,SA,RD,0.84,BLU,250.00,XSR4202,,XSR4202.jpg,,,4.20|4.20,,,RD Sapphire Pair Gem. 4.2,H,,xsr4202
,EM,TR,0.83,GRN,925.00,XET5006,,XET5006.jpg,,,5.00|5.00,,,TR Emerald Pair Gem. 5.0,O,,xet5006
,EM,TR,0.83,GRN,600.00,XET5401,,XET5401.jpg,,,5.40|5.40,,,TR Emerald Pair Gem. 5.4,O,,xet5401
,EM,RD,0.86,GRN,700.00,XER5004,,XER5004.jpg,,,5.00|5.00,,,RD Emerald Pair Gem. 5.0,O,,xer5004
,SA,RD,0.85,BLU,350.00,XSR4304,,xsr4304.jpg,,,4.30|4.30|2.90,,,Sapphire. Round. Blue 4.3MM,H,,
,SA,RD,0.86,BLU,350.00,XSR4500,,xsr4500.jpg,,,4.50|4.50|2.60,,,Sapphire. Round. Blue 4.5MM,H,,
,SA,HS,0.88,BLU,350.00,XSH4700,,XSH4700.jpg,,,4.70|4.70,,,HS Sapphire Pair Gem. 4.7,H,,xsh4700
,SA,RD,0.87,BLU,375.00,XSR4704,,XSR4704.jpg,,,4.70|4.70,,,RD Sapphire Pair Gem. 4.7,H,,xsr4704
,RU,RD,0.87,RED,375.00,XRR4401,,xrr4401.jpg,,,4.40|4.40|2.80,,,RD Ruby Gem 4.4MM,H,,rrl4000
,EM,PS,0.44,GRN,750.00,EP04400,,,,,6.10|4.10|2.90,,,Emerald. PS. Green 6.1X4.1,O,,
,EM,RD,0.89,GRN,1250.00,XER4702,,XER4702.jpg,,,4.70|4.70,,,RD Emerald Pair Gem. 4.7,O,,xer4702
,EM,RD,0.89,GRN,600.00,XER5011,,,,,5.00|5.00|3.40,,,Emerald. Round. Green 5.0X5.0,O,,
,EM,PS,0.45,GRN,750.00,EP04500,,,,,7.10|4.10|2.90,,,Emerald. PS. Green 7.1X4.1,O,,
,EM,TR,0.92,GRN,800.00,XET5402,,XET5402.jpg,,,5.40|5.40,,,TR Emerald Pair Gem. 5.4,O,,xet5402
,SA,RD,0.92,BLU,350.00,XSR0920,,xsr0920.jpg,,,4.40|4.40|3.20,,,Sapphire. Round. Blue 4.4MM,H,,
,RU,PS,0.91,RED,500.00,XRP6045,,XRR6045.jpg,,,6.00|4.20|2.50,,,Ruby. PS. Red 6.0X4.2,H,,
,EM,MQ,0.46,GRN,750.00,EQ04600,,,,,7.70|4.00|2.80,,,Emerald. MQ. Green 7.7X4.0,O,,
,EM,OV,0.46,GRN,800.00,EV04600,,,,,6.40|4.40|2.60,,,Emerald. Oval. Green 6.4X4.4,O,,
,EM,EC,0.46,GRN,700.00,EE04600,,,,,5.80|4.00|2.80,,,Emerald. EC. Green 5.8X4.0,O,,
,EM,OV,0.46,GRN,500.00,EV04601,,,,,5.80|4.10|3.50,,,Emerald. Oval. Green 5.8X4.1,O,,
,SA,RD,0.92,BLU,550.00,XSR0921,,xsr0921.jpg,,,4.60|4.60|2.90,,,Sapphire. Round. Blue 4.6mm,H,,
,EM,EC,0.47,GRN,1250.00,EE04700,,,,,6.10|4.10|2.60,,,Emerald. EC. Green 6.1X4.1,O,,
,PS,RD,0.94,PNK,475.00,XPR4501,,,,,4.50|4.50|3.00,,,P. Sapphire. Round. Pink 4.5mm,H,,
,EM,RD,0.95,GRN,675.00,XER5516,,XER5516.jpg,,,5.50|5.50,,,RD Emerald Pair Gem. 5.5,O,,xer5516
,SA,RD,0.96,BLU,625.00,XSR0960,,,,,4.80|4.80|2.70,,,Sapphire. Round. Blue 4.8mm,H,,
,SA,RD,0.97,BLU,300.00,XSR4702,,XSR4702.jpg,,,4.70|4.70,,,RD Sapphire Pair Gem. 4.7,H,,xsr4702
,EM,TR,0.97,GRN,775.00,XET5502,,XET5502.jpg,,,5.50|5.50,,,TR Emerald Pair Gem. 5.5,O,,xet5502
,EM,RD,0.97,GRN,1250.00,XER5203,,,,,5.20|5.20,,,RD Emerald Pair Gem 5.20,O,,
,SA,OV,0.97,BLU,225.00,XSV0970,,XSV0970.jpg,,,5.10|4.20|2.50,,,Sapphire. Oval. Blue 5.1X4.2,H,,
,EM,EC,0.49,GRN,750.00,EE04900,,,,,5.50|3.90|3.30,,,Emerald. EC. Green 5.5X3.9,O,,
,SA,RD,0.97,BLU,575.00,XSR0970,,xsr0970.jpg,,,4.70|4.70|3.00,,,Sapphire. Round. Blue 4.7mm,H,,
,EM,RD,0.99,GRN,575.00,XER5103,,XER5103.jpg,,,5.10|5.10,,,RD Emerald Pair Gem. 5.1,O,,xer5103
,SA,TR,0.99,BLU,450.00,XST4500,,XST4500.jpg,,,4.50|4.50,,,TR Sapphire Pair Gem. 4.5,H,,xst4500
,SA,HM,1.00,BLU,650.00,XSH1000,,,,,5.60|3.50|2.70,,,Sapphire. HM. Blue 5.6X3.5,H,,
,SA,TR,1.00,BLU,525.00,XST4502,,xst4500.jpg,,,4.50|4.50,,,Sapphire. TR. Blue 4.5MM,H,,
,SA,RD,1.00,BLU,550.00,XSR1000,,xsr1000.jpg,,,4.70|4.70|3.00,,,Sapphire. Round. Blue 4.7mm,H,,
,SA,RD,1.00,BLU,475.00,XSR1001,,xsr1001.jpg,,,4.30|4.30|3.20,,,Sapphire. Round. Blue 4.3mm,H,,
,SA,RD,1.00,BLU,525.00,XSR1002,,XSR1002.jpg,,,4.60|4.60|3.30,,,Sapphire. Round. Blue 4.6 mm,H,,
,SA,RD,1.01,BLU,350.00,XSR4806,,XSR4806.jpg,,,4.80|4.80,,,RD Sapphire Pair Gem. 4.8,H,,xsr4806
,EM,TR,1.01,GRN,800.00,XET5300,,XET5300.jpg,,,5.30|5.30,,,TR Emerald Pair Gem. 5.3,O,,xet5300
,SA,CU,1.02,BLU,650.00,XSC4800,,xsc4800.jpg,,,4.80|4.80|2.40,,,Sapphire. Cushion. Blue 4.8mm,H,,
,RU,EC,1.03,RED,900.00,XRE5540,,XRE5540.jpg,,,5.50|4.00,,,EC Ruby Pair Gem. 5.5-4.0,H,,xre5540
,EM,PS,1.04,GRN,750.00,XEP7501,,,,,7.00|5.00|2.70,,,PS Emerald Pair Gem 7.0X5.0,O,,
,SA,RD,1.04,BLU,375.00,XSR4706,,xsr4706.jpg,,,4.70|4.70|2.90,,,Sapphire. Round. Blue 4.7MM,H,,
,SA,PC,1.04,BLU,475.00,XPRS4200,,,,,4.20|4.20,,,Sapphire. PC 4.2mm,H,,
,SA,RD,1.03,BLU,485.00,XSR10300,,xsr10300.jpg,,,4.70|4.70|2.90,,,Sapphire. Round. Blue 4.7mm,H,,
,SA,RD,1.06,BLU,450.00,XSR5122,,XSR5122.jpg,,,5.10|5.10,,,RD Sapphire Pair Gem. 5.1,H,,xsr5122
,SA,RD,1.06,BLU,575.00,XSR1060,,XSR1060.jpg,,,4.70|4.70|3.80,,,Sapphire. Round. Blue 4.7mm,H,,
,EM,TR,1.08,GRN,750.00,XET5800,,XET5800.jpg,,,5.80|5.80,,,TR Emerald Pair Gem. 5.8,O,,xet5800
,EM,RD,1.08,GRN,1650.00,XER5009,,,,,5.00|5.00,,,RD Emerald Pair Gem 5.00,O,,
,SA,CU,0.54,BLU,400.00,SC05400,,sc05400.jpg,,,5.00|5.00,,,Sapphire. Cushion. Blue 5.0X5.0,H,,
,SA,RD,1.08,BLU,375.00,XSR4403,,xsr4403.jpg,,,4.40|4.40|3.30,,,Sapphire. Round. Blue 4.4MM,H,,
,SA,RD,1.08,BLU,450.00,XSR4707,,xsr4707.jpg,,,4.70|4.70|3.30,,,Sapphire. Round. Blue 4.7MM,H,,
,EM,SQ,0.54,GRN,1100.00,EQ05400,,,,,4.50|4.50|3.40,,,Emerald. SQ. Green 4.5mm,O,,
,RU,OV,1.10,RED,600.00,XRV6041,,XRV6041.jpg,,,6.00|4.00,,,OV Ruby Pair Gem. 6.0-4.0,H,,xrv6041
,SA,RD,1.10,BLU,250.00,XSR4802,,XSR4802.jpg,,,4.80|4.80,,,RD Sapphire Pair Gem. 4.8,H,,xsr4802
,SA,RD,0.55,BLU,375.00,SR05500,,sr05500.jpg,,,4.90|4.90|3.00,,,RD Sapphire Gem 4.9MM,H,,srl5062
,SA,TR,1.09,BLU,575.00,XST4803,,xst4800.jpg,,,4.80|4.80,,,Sapphire. TR. Blue 4.8MM,H,,
,SA,RD,1.09,BLU,325.00,XSR1090,,xsr1090.jpg,,,4.70|4.70|3.10,,,Sapphire. Round. Blue 4.7mm,H,,
,SA,RD,1.10,BLU,525.00,XSR1100,,xsr1100.jpg,,,4.70|4.70|3.40,,,Sapphire. Round. Blue 4.7mm,H,,
,SA,RD,1.11,BLU,200.00,XSR5004,,XSR5004.jpg,,,5.00|5.00,,,RD Sapphire Pair Gem. 5.0,H,,xsr5004
,EM,RD,1.11,GRN,800.00,XER5501,,XER5501.jpg,,,5.50|5.50,,,RD Emerald Pair Gem. 5.5,O,,xer5501
,PS,OV,0.56,PNK,225.00,PV05600,,pv05600.jpg,,,5.90|4.20|2.50,,,P. Sapphire. Oval. Pink,H,,
,EM,OV,0.56,GRN,700.00,EV05600,,,,,5.70|4.40|3.40,,,Emerald. Oval. Green 5.7X4.4,O,,
,SA,RD,1.11,BLU,525.00,XSR1110,,xsr1110.jpg,,,4.60|4.60|3.40,,,Sapphire. Round. Blue 4.6mm,H,,
,EM,RD,1.14,GRN,800.00,XER5305,,XER5305.jpg,,,5.30|5.30,,,RD Emerald Pair Gem. 5.3,O,,xer5305
,RU,OV,0.57,RED,1275.00,RV0570,,rc0570.jpg,,,5.90|4.80|2.40,,,OV Ruby Gem 5.9X4.8,H,,rxl7050
,SA,CU,1.13,BLU,650.00,XSC5000,,xsc5000.jpg,,,5.00|5.00|2.60,,,Sapphire. Cushion. Blue 5.0mm,H,,
,SA,RD,1.14,BLU,550.00,XSR1140,,xsr1140.jpg,,,4.70|4.70|3.20,,,Sapphire. Round. Blue 4.7mm,H,,
